knigoland_students,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Олег Таланов,Українсько-іспанський розмовник,"Українська мова, Іспанська",,,,Арій,2023.0,9789664980132.0,Розмовники (Студентам та аспірантам)
Петрова А.В,Самоучитель английского языка,Українська,,,,,2020.0,9789664980019.0,Самовчителі  (Школярам та абітурієнтам)
Мюллер,"Сучасний англ.-укр.,укр.-англ словник (200 000) (мінімальний брак)",Українська / Англійська,,,,"Видавничий дім ""Школа""",,9789664290736.0,Словники (Школярам та абітурієнтам)
,"Словник італійсько-рос-укра, укр-рос-італ","Українська мова, російська, Італійська",,,,Богдан,2008.0,9789664083925.0,Словники (Студентам та аспірантам)
Нечволод Л.,Сучасний словник іншомовних слів,Українська мова,,,,Торсінг,2011.0,9789664049419.0,Словники (Школярам та абітурієнтам)
,Словники Великий  англо-український бізнес-словник,Українська / Англійська,,,,Торсінг,2009.0,9789664049297.0,Словники (Студентам та аспірантам)
Без автора,Самоучитель испанского языка. Практический курс +4 CD***К-КТ,"російська, Іспанська",,,,Методика,2018.0,9789663623610.0,Самовчителі (Студентам та аспірантам)
,Самоучитель франц.яз. Практ.курс +4CD ***К-КТ(рус.),російська,,,,Методика,2018.0,9789663623559.0,Іноземні мови
,Самоучитель польского яз.Практ.курс +4CD ***К-КТ(рус.),російська,,,,Методика,2012.0,9789663623559.0,Іноземні мови
,Самовчитель французької мови. Практичний курс +4 CD,французька,,,,Методика,,9789663623528.0,Самовчителі (Студентам та аспірантам)
Стивенс Дж.,Самовчитель англійської мови. Практичний курс + 4CD***К-КТ (укр),Українська мова,,,,Методика,2011.0,9789663623467.0,Іноземні мови
Стивенс Дж.,Самоучитель английского языка.Практ.курс +4CD ***К-КТ(рус.),російська,,,,Методика,2011.0,9789663623436.0,Іноземні мови
Габріель Джесероглу,Топ 1000 слів. Турецька мова. Рівень А1,Українська / Турецька,,,,Методика,2016.0,9789663623306.0,Іноземна мова (Студентам та аспірантам)
,Топ 1000 слів. Французька,"Українська мова, французька",,,,Методика,2011.0,9789663623245.0,Самовчителі (Студентам та аспірантам)
,Одразу говори бізнес англійською CD*** К-КТ (укр),Українська / Англійська,,,,Методика,2011.0,9789663623085.0,Розмовники (Студентам та аспірантам)
Магдалена Сасорска,Іспанська мова 20 хвилин щодня,Українська / Іспанська,,,,Методика,2017.0,9789663622934.0,Самовчителі (Студентам та аспірантам)
Джоанна Хайнце,Італійська мова 20 хвилин щодня,Українська / Італійська,,,,Методика,2017.0,9789663622903.0,Самовчителі (Студентам та аспірантам)
,Французский быстро и легко CD,російська,,,,Методика,2011.0,9789663622200.0,Самовчителі (Студентам та аспірантам)
,Іспанська швидко і легко CD,Українська мова,,,,Методика,2011.0,9789663622125.0,Самовчителі (Студентам та аспірантам)
Паломино П.,Комплект Аудиотренер. Испанский быстро и легко (книга + СD-ROM),Українська мова,,,,Методика,2011.0,9789663622095.0,Самовчителі  (Школярам та абітурієнтам)
Без автора,Итальянский за рулем (4 аудио-CD+пособие),"російська, Італійська",,,,Методика,2009.0,9789663621814.0,Самовчителі (Студентам та аспірантам)
,Одразу говори іспанською + CD,Іспанська,,,,Методика,2008.0,9789663620961.0,Самовчителі (Студентам та аспірантам)
Штарк Ш.,Одразу говори англійською (+ аудіо CD),Англійська мова,,,,Методика,2008.0,9789663620848.0,Іноземні мови
Міхеліне Функе,Французька за 30 днів,французька,,,,Методика,2017.0,9789663620664.0,Іноземні мови
Міхеліне Функе,Французский за 30 дней + CD,російська / Французька,,,,Методика,,9789663620657.0,Самовчителі (Студентам та аспірантам)
,Бизнес испанский за 30 дней CD,,,,,Методика,,9789663620626.0,Самовчителі (Студентам та аспірантам)
,Бизнес английский за 30 дней (+ 2 CD-ROM),Українська мова,,,,Методика,2002.0,9789663620336.0,Самовчителі  (Школярам та абітурієнтам)
Суховеенко К.,Польський супертренажер. Доконаний і недоконаний вид дієслів без CD,російська,,,,New Time,2020.0,9789662654899.0,Самовчителі  (Школярам та абітурієнтам)
Юлія Иванова,Живі неправильні дієслова англ. мови. Рівень 1 CD,,,,,New Time,2015.0,9789662654547.0,Іноземна мова (Школярам та абітурієнтам)
,Английская грамота. Полный справочник для нач. школы,,,,,New Time,,9789662654257.0,Іноземні мови
,Немецкий за рулем КНИГА + Mp3 диск (базовый разговорный курс),Російсько-німецький,,,,Лінгвіст,2020.0,9789662583168.0,Розмовники  (Школярам та абітурієнтам)
,Итальянский за рулем КНИГА + Mp3 диск (базовый разговорный курс),Російсько-італійський,,,,Лінгвіст,2020.0,9789662583151.0,Розмовники  (Школярам та абітурієнтам)
,Испанский за рулем КНИГА + Mp3 диск (базовый разговорный курс),Російсько-італійський,,,,Лінгвіст,2020.0,9789662583144.0,Розмовники  (Школярам та абітурієнтам)
,Английский за рулем 1 ступень КНИГА + Mp3 диск (базовый разговорный курс),Українська,,,,Лінгвіст,2020.0,9789662583137.0,Розмовники  (Школярам та абітурієнтам)
,Французский за рулем КНИГА + Mp3 диск (базовый разговорный курс),російська,,,,Лінгвіст,2020.0,9789662583120.0,Розмовники  (Школярам та абітурієнтам)
Донина,"СЛОВНИК: Рус.-укр.,укр.-рус.(р\у) Литера ~ 30 шт.; ; (Л6714Р)",Українсько-російський,,,,Літера,,9789662032352.0,Словники (Школярам та абітурієнтам)
,"Л0897У; СЛОВНИК: Нім-укр, укр-нім. 6 000 слів ОБЛОЖКА (У); 30;",,,,,Літера,,9789661788694.0,Іноземні мови
Горбач Л.,"Л0897У; СЛОВНИК: Нім-укр, укр-нім. 6 000 слів ОБЛОЖКА ; 30;",Українська,,,,Літера,2018.0,9789661788694.0,Словники (Школярам та абітурієнтам)
,Л0798УП; СЛОВНИК: Польсько-Український. Українсько-Польський ОБЛОЖКА ; 30;,Українська,,,,Літера,2017.0,9789661787734.0,Словники (Школярам та абітурієнтам)
,"Л0796У; СЛОВНИК: Анг-укр, укр-анг. 5 000 сл. ОБЛОЖКА ; 30;",Українська,,,,Літера,2017.0,9789661787680.0,Словники (Школярам та абітурієнтам)
,Л0769У; СЛОВНИК: ТЛУМАЧНИЙ,Українська,,,,Літера,2016.0,9789661787383.0,Словники (Школярам та абітурієнтам)
Даниелян,"ІСПАНСЬКА для початкового і середнього рівня (А1-В1). ЖОВТИЙ. Граматика, Словник; У; 10 шт.; ~ Л0410УІ",Українська,,,,Літера,,9789661783729.0,Іноземні мови
Даниелян,"ІСПАНСЬКА для початкового і середнього рівня (А1-В1). ЖОВТИЙ. Граматика, Словник; У; 10 шт.; ~ Л0410УІ",Українська,,,,Літера,,9789661783729.0,Іноземні мови
Даниелян,"ІСПАНСЬКА для початкового і середнього рівня (А1-В1). ДІВЧИНА. Граматика, Словник; У; 10 шт.; ~ Л0410УІ",Українська,,,,Літера,,9789661783729.0,Самовчителі  (Школярам та абітурієнтам)
Ковальська М.,Польська мова за 4 тижні. Інтенсивний курс польської мови з електронним аудіододатком,Українська,,,,Богдан,2020.0,9789661061001.0,Словники (Школярам та абітурієнтам)
,Українська мова для іноземців. Ukrainian for foreigners. Довідник,Українська мова,,,,Богдан,2021.0,9789661059657.0,"Студентам, аспірантам"
Парадіс Е.,Каю. Розвиваюча розмальовка. Жовта,Українська мова,,,,Богдан,2018.0,9789661053778.0,Дозвілля і творчість дітей
Парадіс Е.,Каю. Розвиваюча розмальовка. Синя,Українська мова,,,,Богдан,2018.0,9789661053730.0,Дозвілля і творчість дітей
,Італійська мова за 4 тижні. Рівень 2. Інтенсивний курс італ. мови з компакт-диском.,,,,,Богдан,2017.0,9789661025904.0,Самовчителі (Студентам та аспірантам)
,Французька мова за 4 тижні. Рівень 2. Інтенсивний курс франц. мови з компакт-диском,французька,,,,Богдан,2018.0,9789661025874.0,Самовчителі (Студентам та аспірантам)
,Практичний польсько-рос-укр словник з індексами рос. і укр. термінів,"Українська мова, російська, Польська",,,,Богдан,2012.0,9789661013208.0,Словники (Студентам та аспірантам)
,Спортивна генетика. Підручник для студентів вищих навчальних закладів фізичного виховання та спорту,Українська мова,,,,Богдан,2014.0,9789661003148.0,"Студентам, аспірантам"
,Сучасний словник іншомовних слів,Українська мова,,,,Ранок,2011.0,9789660815971.0,Словники (Школярам та абітурієнтам)
Грицюк І.,200 усних тем з німецької мови,російська,,,,Підручники і посібники,2019.0,9789660730151.0,Іноземні мови
,Українсько-англійський розмовник,,,,,Підручники і посібники,2014.0,9789660720329.0,Розмовники (Студентам та аспірантам)
,"США: географія, історія, мова.  The USA: Geographi, History",,,,,Підручники і посібники,2010.0,9789660716872.0,Іноземна мова (Студентам та аспірантам)
Савченко,Український розмовник для сфери обслуговування. 10 уроків зі словничком,Українська мова,,,,Фоліо,2022.0,9789660399945.0,"Студентам, аспірантам"
Сеит Джалиль,Кримськотатарська швидко. 2000 слів на кожен день,Українська мова,,,,Фоліо,2022.0,9789660398078.0,Іноземна мова (Школярам та абітурієнтам)
Савченко,Розмовляй українською правильно,Українська мова,,,,Фоліо,2016.0,9789660374102.0,Розмовники  (Школярам та абітурієнтам)
,Тлумачний словник української мови,Українська мова,,,,Фоліо,2018.0,9789660371958.0,Словники (Школярам та абітурієнтам)
Война М.О,Китайська мова(для студентів),Китайська,,,,Фоліо,2016.0,9789660371781.0,Іноземні мови
Маттео М.,Українсько-німецький розмовник,Українська / Німецька,,,,Фоліо,,9789660365308.0,Розмовники  (Школярам та абітурієнтам)
Маттео М.,Українсько-італійський розмовник,Українська / Італійська,,,,Фоліо,,9789660365292.0,Розмовники  (Школярам та абітурієнтам)
Маттео М.,Українсько-англійський розмовник,Українська / Англійська,,,,Фоліо,,9789660365285.0,Розмовники  (Школярам та абітурієнтам)
Маттео М.,Українсько-польський розмовник,Українська / Польська,,,,Фоліо,,9789660365131.0,Розмовники  (Школярам та абітурієнтам)
,Українсько-польський розмовник і словник (тв),Українська / Польська,,,,Фоліо,2017.0,9789660365131.0,Розмовники (Студентам та аспірантам)
,Українсько-польський розмовник і словник (тв),Українська / Польська,,,,Фоліо,,9789660365131.0,Словники (Школярам та абітурієнтам)
Маттео М.,Українсько-іспанський розмовник,Українська / Іспанська,,,,Фоліо,,9789660364127.0,Розмовники  (Школярам та абітурієнтам)
Бибик Н.М.,Словник іншомовних слiв (цел),Українська мова,,,,Фоліо,2020.0,9789660359895.0,Словники (Школярам та абітурієнтам)
Ковалева,Українсько-росiйський словник 15 000 сл (міни),Українська/Російська,,,,Фоліо,2017.0,9789660338319.0,Розмовники  (Школярам та абітурієнтам)
Станіслав Дугін,Deutsch. Просто про найскладніше. Новий самовчитель,Українська / Німецька,,,,New Edition,2022.0,9786179515583.0,Самовчителі (вихователям та педагогам)
Станіслав Дугін,Книга «English grammar. Граматика. Просто про найскладніше»,Українська / Англійська,,,,New Edition,2022.0,9786179515569.0,"Кар'єра, особиста ефективність"
"Швецова-Водка Г. М.,Костенко М.С.",Документознавство. Частина 2. Типологія документа. Документознавство як наука,Українська мова,,,,Кондор,2023.0,9786178244927.0,"Студентам, аспірантам"
Колошук Н. Г.,Історія зарубіжної літератури ХХ століття: у 2 ч. Частина 2: Після модерну,Українська мова,,,,Кондор,2023.0,9786178244200.0,"Студентам, аспірантам"
Артуро Хавієр Кастро Родрігес,480 неправильних іспанських дієслів. Практичний посібник,Українська / Іспанська,,,,Кондор,2022.0,9786178052751.0,Іноземна мова (вихователям та педагогам)
"О.В. Арпуль,А.Г. Абрамова,Ю.А. Мирошник,О.В. Собін",Готельна справа: Навчальний посібник,Українська мова,,,,Кондор,2021.0,9786177939855.0,"Студентам, аспірантам"
Андрій Моклиця,Польська мова: вправи зі словозміни / Język polski: ćwiczenia fleksyjne,Українська / Польська,,,,Кондор,2022.0,9786177939787.0,Іноземна мова (Студентам та аспірантам)
Ольга Борисова,Спеціалізований туризм : навчальний посібник для студентів закладів вищої освіти спеціальності «Туризм»,Українська мова,,,,Кондор,2020.0,9786177939213.0,"Студентам, аспірантам"
Святенко С.,"50 уроків англійської: говоримо без помилок, ок?",Українська мова,,,,#Книголав,2019.0,9786177820672.0,Самовчителі  (Школярам та абітурієнтам)
"Л. В. Радовецька,С. П. Лясковська,О. О. Тихомиров",Юридична деонтологія. Від навчання до практики: навчальний посібник,Українська мова,,,,Кондор,2019.0,9786177729937.0,"Студентам, аспірантам"
Н.В. Чорненька,Безпека туризму: навчальний посібник,Українська мова,,,,Кондор,2019.0,9786177729708.0,"Студентам, аспірантам"
,Картки Car Mechanic (105),Українська / Англійська,,,,English Student,2023.0,9786177702794.0,Іноземна мова (Школярам та абітурієнтам)
Без автора,Картки TV Shows (105),Українська / Англійська,,,,English Student,2023.0,9786177702787.0,Іноземна мова (Школярам та абітурієнтам)
,Картки Movie Quotes (105),Українська / Англійська,,,,English Student,2023.0,9786177702770.0,Іноземна мова (Школярам та абітурієнтам)
,Колокації B1 (500) англійська,Українська / Англійська,,,,English Student,2023.0,9786177702763.0,Іноземна мова (Студентам та аспірантам)
Без автора,Картки для вивчення англійських слів. English Idioms / Англійські ідіоми B2 - С1 (500 флеш-карток),Українська / Англійська,,,,English Student,2023.0,9786177702725.0,Іноземна мова (Школярам та абітурієнтам)
,Gerund 2 (105) англійська,Українська / Англійська,,,,English Student,2023.0,9786177702695.0,Іноземна мова (Школярам та абітурієнтам)
,Картки для вивчення англійських слів. English Idioms / Англійські ідіоми B2 - С1,Українська / Англійська,,,,English Student,2023.0,9786177702657.0,Іноземна мова (Студентам та аспірантам)
,Фразові дієслова В1 (500) англійська,Українська / Англійська,,,,English Student,2021.0,9786177702558.0,Іноземні мови
,Фразові дієслова (105) німецька,,,,,English Student,2021.0,9786177702466.0,Іноземна мова (Студентам та аспірантам)
,Неправильні дієслова (105) англійська,Українська мова,,,,English Student,2021.0,9786177702381.0,Іноземна мова (Студентам та аспірантам)
"Ольга Борисова,Анатолій Климов",Історія української державності: підручник для вищих навчальних закладів : у 2-х томах. Т. 2 (1917–2017 рр.),Українська мова,,,,Кондор,2018.0,9786177582815.0,"Студентам, аспірантам"
"Ольга Борисова,Анатолій Климов","Історія української державності: підручник для вищих навчальних закладів у 2-х томах. Т. 1. (Давні часи, Середньовіччя. Нова доба)",Українська мова,,,,Кондор,2018.0,9786177582808.0,"Студентам, аспірантам"
,Точкографія. У світі природи,Українська мова,,,,Жорж,2019.0,9786177579945.0,Творчість
Куазац М.,Фр. Français граматика - це просто!,французька,,,,Методика,2020.0,9786177462469.0,Іноземні мови
Куазац М.,Фр. Français грамматика - это просто!,французька,,,,Методика,2020.0,9786177462452.0,Іноземні мови
Луц Вальтер,Все про англійські дієслова. Граматика в таблицях,Українська / Англійська,,,,Методика,2020.0,9786177462322.0,Іноземна мова (Студентам та аспірантам)
,"Починай говорити німецькою (1000 слів, які тобі дісно потрібні)",Українська / Німецька,,,,Методика,2022.0,9786177462162.0,Самовчителі (Студентам та аспірантам)
Луц Вальтер,"Починай говорити англійською (1000 слів, які тобі дісно потрібні)",Українська / Англійська,,,,Методика,2021.0,9786177462148.0,Розмовники (Студентам та аспірантам)
Лісовський П.М.,"Міжнародні відносини: ментальність, геополітика, глобалізація",Українська мова,,,,Кондор,2017.0,9786177458479.0,"Студентам, аспірантам"
Артуро Хавієр Кастро Родрігес,Книга «Так говорять іспанською. Рівні А1 і А2»,Українська / Іспанська,,,,Кондор,2016.0,9786177278947.0,"Кар'єра, особиста ефективність"
Кочан Д.,Англійська мова по 20 хвилин щодня,Українська мова,,,,Методика,2016.0,9786177198122.0,Іноземні мови
Москальская   О.,Самоучитель немецкого языка,російська,,,,Методика,2016.0,9786177198115.0,Іноземні мови
,Помогайбо В. ОСНОВИ АНТРОПОГЕНЕЗУ,Українська мова,,,,Академія,2015.0,9786175720929.0,"Студентам, аспірантам"
,Інноваційні педагогічні технології  (3-тє вид. допов.),Українська мова,,,,Академія,2017.0,9786175720905.0,"Студентам, аспірантам"
Кузьменко,Історія української літератури (кін.XIX- поч.XXIст) 2 том,Українська мова,,,,Академвидав,2014.0,9786175720813.0,"Студентам, аспірантам"
,Педагогіка вищої школи (2-ге вид.),Українська мова,,,,Академія,2014.0,9786175720684.0,"Студентам, аспірантам"
Кузьменко,Історія української літератури (кін.XIX- поч.XXIст) 1 том,Українська мова,,,,Академвидав,2013.0,9786175720660.0,"Студентам, аспірантам"
,Анатомія та еволюція нервової системи,,,,,Академія,2013.0,9786175720622.0,"Студентам, аспірантам"
,Євроінтеграція,Українська мова,,,,Академвидав,2013.0,9786175720578.0,"Студентам, аспірантам"
,Соціальна педагогіка,Українська мова,,,,Академвидав,2013.0,9786175720561.0,"Студентам, аспірантам"
Іван Бех,Особистість у просторі духовного розвитку,Українська мова,,,,Академія,2012.0,9786175720448.0,"Студентам, аспірантам"
,"СЛОВНИК базовий. Ісп. -. ,. -ісп. 45 000",Українська мова,,,,Ранок,,9786175409725.0,Словники (Школярам та абітурієнтам)
,"СЛОВНИК базовий. Італ. -. ,. -італ. 45 000",Українська мова,,,,Ранок,,9786175409695.0,Словники (Школярам та абітурієнтам)
,"ЛИНГВОцентр: СЛОВАРЬ базовый. Франц.-рус., рус.-франц. (45 000); РФ; 10 шт.; Базовий словник ~ И17395РФ",Російсько-французький,,,,Ранок,,9786175409671.0,Словники (Школярам та абітурієнтам)
Жовтобрюх В.Ф.,СЛОВНИК українського правопису 50 000,Українська мова,,,,Ранок,2013.0,9786175402788.0,Словники (Студентам та аспірантам)
,ВЕСЕЛІ КОЛЬОРИ КРАСУНІ ФЕЇ,Українська мова,,,,Ранок,2021.0,9786170972835.0,Розмовники  (Школярам та абітурієнтам)
,ВЕСЕЛІ КОЛЬОРИ ТРАНСПОРТ,Українська мова,,,,Кенгуру,2019.0,9786170972743.0,Розмовники  (Школярам та абітурієнтам)
,Український правопис з коментарями та примітками до нової редакції. М'ЯКА обкладинка,Українська,,,,Ранок,2019.0,9786170960986.0,Словники (Школярам та абітурієнтам)
,1000 английских тем,Українська мова,,,,Ранок,2018.0,9786170939647.0,Іноземна мова (Школярам та абітурієнтам)
,Witziges vokabelheft. 1 Stufe (Deutsch mit Spass),Українсько-німецький,,,,Ранок,2013.0,9786170916624.0,Словники (Школярам та абітурієнтам)
,СЛОВАРЬ ско-аинский. Словарь устойчивых словосочетаний 20 000,Українсько-російський,,,,Ранок,,9786170913807.0,Словники (Школярам та абітурієнтам)
,Сool listening Intermediate level Аудіювання з англійскої мови(рожева),Англійська мова,,,,Торсінг,2012.0,9786170303844.0,Іноземна мова (Школярам та абітурієнтам)
,Сool listening Starter Level(Аудіювання з англійскої мови(зелена),Українська / Англійська,,,,Торсінг,2012.0,9786170303813.0,Іноземна мова (Школярам та абітурієнтам)
,Cool speaking Intermediate level Вправи і завдання для розвитку мовлення(рожева),Українська мова,,,,Торсінг,2012.0,9786170303806.0,Іноземна мова (Школярам та абітурієнтам)
,СЛОВНИК великий. Англо-аїнський 100 000,Українська мова,,,,Ранок,,9786115409457.0,Словники (Школярам та абітурієнтам)
,Базовий український правописний словник,Українська мова,,,,Ранок,,9786115408146.0,Словники (Школярам та абітурієнтам)
,СЛОВНИК великий. . -англійський 200 000,Українсько-англійський,,,,Ранок,,9786115407644.0,Словники (Школярам та абітурієнтам)
,Cool Games. Pre-Entermediate Level (підготовчий до середнього рівень),Українська мова,,,,Торсінг,2010.0,9786110301121.0,Іноземна мова (Школярам та абітурієнтам)
,Cool Games. Entermeia Level (середній рівень),Українська мова,,,,Торсінг,2010.0,9786110301114.0,Іноземна мова (Школярам та абітурієнтам)
,Китайский разговорник и словарь.Berlitz.,російська,,,,Лінгвіст,2020.0,9785803309260.0,Розмовники  (Школярам та абітурієнтам)
,Speakout NEW Starter SB,Українська / Англійська,,,,UBD,2015.0,9781292115993.0,Самовчителі (Студентам та аспірантам)
Адамовська Людмила,Сучасний укр-англійський розмовник.,Українська / Англійська,,,,Богдан,2009.0,9666929406.0,Розмовники (Студентам та аспірантам)
,2000 найкорисніших НІМЕЦЬКИХ слів і висловів,Українська / Німецька,,,,Арій,2018.0,9789664986356,Іноземна мова (Студентам та аспірантам)
